text,polarity_score,sentiment
The product is amazing and works as expected.,12,1
Delivery was delayed but product is good.,11,1
Worst experience ever  do not buy!,2,2
Kuch khas nahi  average hi tha.,7,0
Bahut accha laga  mujhe pasand aaya.,13,1
Bohot ganda product tha  bilkul bekaar.,1,2
Service was okay  nothing special.,7,0
Price zyada hai  quality theek nahi hai.,3,2
Had a great time using this  highly recommend.,13,1
Mujhe ye product bohot pasand hai.,12,1
Poor quality  very disappointed.,2,2
Fantastic experience overall.,13,1
Delivery time theek hai.,8,0
Nahi pasand aaya.,2,2
Quality exceeded expectations!,14,1
Support team ne madad ki.,12,1
Price is awesome for the quality.,13,1
Samay par delivery ho gayi.,12,1
Kharab quality  bilkul bekaar.,1,2
Service thik tha.,8,0
I am truly impressed.,14,1
Bohot gussa aaya.,1,2
Not satisfied with the purchase.,3,2
Really happy with this product.,13,1
Kuch samajh nahi aaya.,7,0
Poor service  very rude staff.,2,2
Gift was received on time  thank you!,12,1
The size did not fit properly.,6,0
Bahut shikayat hai.,2,2
Loved the design and build quality.,14,1
Okayish  could be better.,7,0
Maine dobara nahi kharida.,2,2
Amazing quality and fast delivery!,14,1
The ambiance was pleasant and welcoming.,13,1
Problem jaldi solve hui.,12,1
Bohot kharab quality material hai.,1,2
Price is too high for the quality offered.,3,2
Satisfied with the purchase overall.,13,1
Very neutral feelings about the event.,7,0
The product works fine.,11,1
Bohot sukhad anubhav.,13,1
Phir se ye product kharidunga.,13,1
Delivery achi thi.,11,1
Sab kuch thik tha.,8,0
Price kam hona chahiye.,3,2
Service team bohot ache se madad karti hai.,12,1
Product quality pe thoda aur dhyan dena chahiye.,6,0
Bahut achhi customer support mili.,12,1
Problem solve karne mein der hui.,4,2
Umeed se accha product mila.,13,1
Kharab packaging thi.,2,2
Product thoda mehenga tha.,5,0
Bohot accha experience raha.,13,1
The product did not meet my expectations.,2,2
Quality theek hai par delivery der se hui.,6,0
Bohot badhiya design hai.,14,1
Service mein sudhar chahiye.,3,2
Nice product  will buy again.,14,1
Kuch khas nahi tha.,7,0
Paisa vasool hai yeh product.,14,1
Product ka size sahi tha.,8,0
Very fast delivery!,14,1
Kharab service di gayi.,1,2
Love it  highly recommend.,13,1
Delivery thodi der se hui.,5,0
Bahut hi bekaar quality.,1,2
Perfect product for daily use.,14,1
Chhota sa issue tha  baaki sab thik tha.,7,0
Product mila samay par.,12,1
Kabhi nahi kharidungaa.,2,2
Quality average thi.,7,0
Kafi acha laga.,13,1
Bohot disappoint hua.,1,2
Support team ne madad nahi ki.,2,2
Amazing packaging!,14,1
Product theek tha.,8,0
Ek dum mast product!,14,1
Gussa aaya quality dekh ke.,1,2
Sab kuch best hai.,14,1
Time pe delivery hui.,12,1
Apna paisa vasool hua.,14,1
Product ki quality bahut badiya hai.,14,1
Delivery mein problem hui.,4,2
Great value for money.,14,1
Mujhe pasand aaya.,13,1
Product ko return kiya.,2,2
Thoda bekaar product mila.,2,2
Service thik thi.,7,0
I am satisfied with the purchase.,14,1
Design bahut accha hai.,14,1
Poor response from customer service.,2,2
Kabhi nahi kharidungaa.,2,2
Quality average thi.,7,0
Kafi acha laga.,13,1
Bohot disappoint hua.,1,2
Support team ne madad nahi ki.,2,2
Amazing packaging!,14,1
Product theek tha.,8,0
Ek dum mast product!,14,1
Gussa aaya quality dekh ke.,1,2
Sab kuch best hai.,14,1
Time pe delivery hui.,12,1
Apna paisa vasool hua.,14,1
Product ki quality bahut badiya hai.,14,1
Delivery mein problem hui.,4,2
Great value for money.,14,1
Mujhe pasand aaya.,13,1
Product ko return kiya.,2,2
Thoda bekaar product mila.,2,2
Service thik thi.,7,0
I am satisfied with the purchase.,14,1
Design bahut accha hai.,14,1
Poor response from customer service.,2,2
Expected better from this product.,4,2
Price sahi tha.,11,1
Quality thoda behtar ho sakti thi.,7,0
Bahut hi kharab experience.,1,2
Nice product overall.,13,1
Thoda slow delivery thi.,5,0
Paisa vasool product.,14,1
Delivered on time.,12,1
Support team helpful thi.,13,1
Product ki packing achhi thi.,12,1
Product ne dil khush kar diya.,14,1
Item defective tha.,2,2
Staff bohot rude tha.,1,2
Value for money.,14,1
Thik hai  use kar sakte hain.,7,0
Product theek hai par mehnga hai.,6,0
Mujhe pasand nahi aaya.,3,2
Bahut accha customer service.,13,1
Fast delivery service.,14,1
Problem jaldi solve ho gaya.,13,1
Kharab quality ka saman.,1,2
The product is satisfactory.,12,1
Color bilkul sahi tha.,12,1
Kuch khas nahi tha product me.,6,0
Bohot accha product mila.,14,1
