text,clean_text,polarity_score,sentiment
price range e onek valo product.plastic quality temon valo na.sound onek valo ei price range e.kaan betha hoy as plastic er body.overall kharap na.,price range e onek valo productplastic quality temon valo nasound onek valo ei price range ekaan betha hoy as plastic er bodyoverall kharap na,7,0
amazing 😍 yarbarths sound quality is good 👍 like it 👍 apnar o nitay paran 😱,amazing  yarbarths sound quality is good  like it  apnar o nitay paran ,12,1
Same as a picture. Thank you Daraz and seller. Headphone ta te bass khub kom.,same as a picture thank you daraz and seller headphone ta te bass khub kom,9,1
Keho niben na ei product onk baje charge dile light jole r 2 tai nosto 🤬,keho niben na ei product onk baje charge dile light jole r 2 tai nosto ,7,0
"not working.
12 din hoise nichi.
kisu bolar vasa khuje pachchhi na 😡😡","not working
12 din hoise nichi
kisu bolar vasa khuje pachchhi na ",7,0
vai ai ta MOTA moti Valo ache apnra nite paren Kono somossa nai,vai ai ta mota moti valo ache apnra nite paren kono somossa nai,4,2
quality valo e dekhlam akhon use kora Dekhi Kemon service day,quality valo e dekhlam akhon use kora dekhi kemon service day,7,0
"valoi silo ager ta, tar jonno arekta nilam",valoi silo ager ta tar jonno arekta nilam,7,0
"alhamdulillah valoi product ta,nite paren",alhamdulillah valoi product tanite paren,7,0
pordak or khubi Valo saile kau nite paren,pordak or khubi valo saile kau nite paren,7,0
kom taker betore  thes airport is best 💯,kom taker betore  thes airport is best ,11,1
sob kicu thik Joss kintu dhaknita durbol,sob kicu thik joss kintu dhaknita durbol,5,2
valo apnara caile nite paren,valo apnara caile nite paren,7,0
Jodi sotti boli taile bolbo baire fitfat vitore sodor ghat . 😂,jodi sotti boli taile bolbo baire fitfat vitore sodor ghat  ,7,0
delivery onk taratari asche kalke order disi ajk sokale hate paiaa gesi takar tulonai vhalo ee akta earbuds apnara chaile nite pare,delivery onk taratari asche kalke order disi ajk sokale hate paiaa gesi takar tulonai vhalo ee akta earbuds apnara chaile nite pare,2,2
Ekdom baje product. Amr earbuds gulu charage e nite chai nh. Allah ader moto seller der business bondo koruk amin. Chi daraz Chi,ekdom baje product amr earbuds gulu charage e nite chai nh allah ader moto seller der business bondo koruk amin chi daraz chi,10,1
ata jem dekte demon noy. ak don baje. ar jara game ar jonno niben. tara ata teke 100 hat dure taken.,ata jem dekte demon noy ak don baje ar jara game ar jonno niben tara ata teke 100 hat dure taken,7,0
"not good at all
3-4 fit dure gelei connection lost hoiya jai","not good at all
34 fit dure gelei connection lost hoiya jai",4,2
besi valo na motamoti but gaming er jonno ei dam e best,besi valo na motamoti but gaming er jonno ei dam e best,12,1
alhumdullilah motamoti valo but case charge thakei na,alhumdullilah motamoti valo but case charge thakei na,7,0
"1 side bati jole na r 1 ta ear nosto
totally waste🐸","1 side bati jole na r 1 ta ear nosto
totally waste",3,2
Good got the best but but the packaging is very bad,good got the best but but the packaging is very bad,4,2
nostw akta airbuds.fultu products kew niben nah ata,nostw akta airbudsfultu products kew niben nah ata,6,2
product ta Valo na Khali bondho hoye jay😡😡😡😡,product ta valo na khali bondho hoye jay,7,0
this is the best airpods for gaming and music,this is the best airpods for gaming and music,11,1
vai ar kisu nen na nen aita niyen khub Valo,vai ar kisu nen na nen aita niyen khub valo,7,0
ei earbud ta valo na charge akdomi thakena,ei earbud ta valo na charge akdomi thakena,7,0
allhamdulillah onek Valo apnara nite paren,allhamdulillah onek valo apnara nite paren,7,0
very and not smooth.  kan pura jay ga.bu,very and not smooth  kan pura jay gabu,7,0
"sawan koyaliti Valo
toba chai kom thaka","sawan koyaliti valo
toba chai kom thaka",7,0
onek Valo apnarao nite paren,onek valo apnarao nite paren,7,0
valo kintu sound ektu kom 🙂,valo kintu sound ektu kom ,7,0
crg thaka na falto products,crg thaka na falto products,7,0
jmon asa korsi temon na 😔,jmon asa korsi temon na ,7,0
"sound quality onkta baje.
r uporer mokh khole gese😑","sound quality onkta baje
r uporer mokh khole gese",7,0
onek baje product 3 din ar vitor sob nosto hoia gse,onek baje product 3 din ar vitor sob nosto hoia gse,5,2
Gaming er jonno bhalo na.. beat kom.,gaming er jonno bhalo na beat kom,7,0
product sound 10-10 sob dik diye perfect ak kothai moner moton 😊😊😘,product sound 1010 sob dik diye perfect ak kothai moner moton ,9,1
Ami 22 August Air pods pro 2nd Generation Order korsilam & 28 August Delivery Peyesi 🙃,ami 22 august air pods pro 2nd generation order korsilam  28 august delivery peyesi ,7,0
ak kothai osadaron 4 din use korlam. Sound quality onak valo call a kotha bola clear kotha suna jai ear buds a charge o valo thaka... apnara chaila nita paran,ak kothai osadaron 4 din use korlam sound quality onak valo call a kotha bola clear kotha suna jai ear buds a charge o valo thaka apnara chaila nita paran,9,1
product ar sound quality khube bhalo bass o deep bass vocal ar quality AK khothai osha dharon akkhtha ai dam a ar thaka Bhalo product Pao shombhob na  saller o onk Bhalo Manus ❤️🙂,product ar sound quality khube bhalo bass o deep bass vocal ar quality ak khothai osha dharon akkhtha ai dam a ar thaka bhalo product pao shombhob na  saller o onk bhalo manus ,7,0
Alhamdulillah jmn ta review te dekhechi tar thekeo vlo,alhamdulillah jmn ta review te dekhechi tar thekeo vlo,7,0
"Alhamdulillah aj e receive korlam ,jemon cheyechilam temon e peyechi. ",alhamdulillah aj e receive korlam jemon cheyechilam temon e peyechi ,7,0
"Alhamdulillah jymon ta review dykysi tar tykyo valo 🥰🥰 ar Sound quality kob kob valo 👍❤️ 
Tnx to sellar and daraz tik time moto delivery  dywar jonno❤️😎🫡 sobai nity paryn","alhamdulillah jymon ta review dykysi tar tykyo valo  ar sound quality kob kob valo  
tnx to sellar and daraz tik time moto delivery  dywar jonno sobai nity paryn",8,1
intact product dear jonno onak onak thanks to the seller 😁,intact product dear jonno onak onak thanks to the seller ,12,1
"Type C to type C charging cable dise.
sounds quality valo.
 look tao valo.
ANC kaj kore kina jani na.","type c to type c charging cable dise
sounds quality valo
 look tao valo
anc kaj kore kina jani na",7,0
