text,polarity_score,sentiment,sentiment_label
"not good at all
34 fit dure gelei connection lost hoiya jai",4,2,Neutral
Movie par mila audience ka mixed reaction kuch ko pasand nahi aya India.,6,0,Negative
Service is unreliable and inconsistent.,3,2,Neutral
Promises for resolution never materialized.,3,2,Neutral
Post mein thodi hatt ke baatein thi Australia.,7,0,Negative
Kharab packaging ke kaaran product damage ho gaya.,2,2,Neutral
mota moti vlo price hisebe,7,0,Negative
Product thoda mehenga laga.,6,0,Negative
akta nostomood tai nosto hoia gese,7,0,Negative
Deal ke cancellation policy clear thi process simple tha Singapore.,14,1,Positive
Product defects ke bawajood seller ne quick replacement diya impressed hu.,14,1,Positive
2ta nisi 1 ta charging back up kom thake,7,0,Negative
Product defective nikla disappointed.,1,2,Neutral
motamoti valo caile nite paren 1 gonta moto charge thake,7,0,Negative
dam onujayi valoi ache charge backup o valo tobe charging cable ta luss connection pay,3,2,Neutral
good product value for money,11,1,Positive
Deal ki policy clear thi UK.,14,1,Positive
awesome product satisfied 2 din er vitore delivery paisi khub fast valoi,12,1,Positive
Service mein sudhar chahiye.,3,2,Neutral
Product ko return kiya.,2,2,Neutral
Bohot disappoint hua.,1,2,Neutral
sob kisu thik moto peyesi price hisebe onek valo hoise,5,2,Neutral
bai anak balo product apni thitha paran,7,0,Negative
valo producttana 4 ghonta backup dita para,7,0,Negative
Mujhe product bilkul pasand nahi aaya Bolivia.,2,2,Neutral
Movie ki acting thodi flat lagi thoda emotive hona chahiye tha USA.,5,0,Negative
Show ke costumes aur sets bohot attractive the India.,14,1,Positive
Product quality ki main fan hu.,14,1,Positive
Till date no satisfactory solution has been offered.,3,2,Neutral
Show ne apni comedy se sabka mood light kar diya USA.,14,1,Positive
Quality now inconsistent between batches.,3,2,Neutral
Product ne mujhe impress kiya.,14,1,Positive
Misleading information affected decision making.,3,2,Neutral
Deal ki return policy simple aur customer friendly thi Singapore.,14,1,Positive
Movie ke kuch parts confusing the lekin overall sabko pasand aayi.,0,0,Negative
Issues with updates cause user frustration.,7,0,Negative
The experience left much to be desired.,3,2,Neutral
Design bahut accha hai.,14,1,Positive
Bahut accha quality hai product ki.,14,1,Positive
Product theek tha.,8,0,Negative
Product ki quality expected se behtar thi value for money USA.,14,1,Positive
Post par spam comments thode annoy karne wale the USA.,2,2,Neutral
Mujhe product ki quality pasand nahi aayi.,2,2,Neutral
Post ki language samajhne mein aasan thi UK.,14,1,Positive
Movie ka music outstanding tha sabko pasand aaya Canada.,14,1,Positive
